Date,Close,log_return,volatility,drawdown,ma_50,ma_distance,trend_slope,trend_strength,boll_width
1993-04-12,25.035688400268555,0.014016657495877202,0.007003614818295511,-0.013806650246027832,24.834153480529785,0.008115232109553264,-0.019969578793175298,0.019969578793175298,0.03250596595682572
1993-04-13,25.08794212341309,0.002084994304218806,0.006930683693780635,-0.01174829764788347,24.848303413391115,0.009644067284401798,-0.0160747829236484,0.0160747829236484,0.03214045712748132
1993-04-14,25.0530948638916,-0.0013899698620420404,0.00693648411832351,-0.013120983513268883,24.85828868865967,0.007836668793729244,-0.012594349222972536,0.012594349222972536,0.031746339152406336
1993-04-15,25.0530948638916,0.0,0.006788940468857316,-0.013120983513268883,24.86723335266113,0.007474153179592886,-0.011442633320514829,0.011442633320514829,0.03185256244913657
1993-04-16,25.0530948638916,0.0,0.0066357181373098185,-0.013120983513268883,24.870975952148438,0.0073225478603477,-0.007925205660942784,0.007925205660942784,0.03140434533068942
1993-04-19,24.94855499267578,-0.004181462965152473,0.006690504198188568,-0.017238965976098735,24.870546836853027,0.0031365677777202036,-0.006366734038619018,0.006366734038619018,0.03118541085206241
1993-04-20,24.826623916625977,-0.004899282036300047,0.006664528917271529,-0.022042014105079815,24.868025817871093,-0.0016648648167062535,-0.008514927742176577,0.008514927742176577,0.0317695688879774
1993-04-21,24.809186935424805,-0.0007025968396264935,0.006641448377364407,-0.02272888297105421,24.865156059265136,-0.002250905793912204,-0.009877329661434483,0.009877329661434483,0.032196891880727496
1993-04-22,24.49560165405273,-0.012720448409295924,0.007185924239550113,-0.03508147795967653,24.859482612609863,-0.014637511336320222,-0.015405135764215469,0.015405135764215469,0.03651008983532624
1993-04-23,24.391054153442383,-0.004277145092697302,0.007006030399901837,-0.03919976095581011,24.851024742126466,-0.01850911958187218,-0.01916457584926174,0.01916457584926174,0.04027257068882881
1993-04-26,24.19940948486328,-0.007888200604195381,0.007094632839749815,-0.046748932148821386,24.83630641937256,-0.025643786308438016,-0.02668350334454291,0.02668350334454291,0.047423226730820486
1993-04-27,24.46074485778809,0.010741350458754621,0.007520275815133329,-0.036454539491691355,24.830629539489745,-0.014896307043420084,-0.027561087357371016,0.027561087357371016,0.0475076135991325
1993-04-28,24.40847587585449,-0.002139137931009933,0.007457949491710767,-0.038513493156443576,24.836392288208007,-0.01722941107500091,-0.02706323207769208,0.02706323207769208,0.04721383471950545
1993-04-29,24.513019561767575,0.0042739431456828465,0.0075720973867034885,-0.03439536042696179,24.844592514038087,-0.013345880077653196,-0.02414190822974212,0.02414190822974212,0.04500208494377225
1993-04-30,24.54784774780273,0.001419795197096647,0.007579652206156897,-0.03302342589483617,24.853836441040038,-0.012311527597085224,-0.02107696676612864,0.02107696676612864,0.04313527460745703
1993-05-03,24.704652786254883,0.006367415523809406,0.006128099146196083,-0.026846640033906168,24.864482116699218,-0.006428017671721076,-0.023185874824238083,0.023185874824238083,0.04258533113731756
1993-05-04,24.791770935058597,0.003520183165392398,0.006078560102054855,-0.023414925370442846,24.875136299133302,-0.0033513530568115837,-0.02230817464957572,0.02230817464957572,0.04251769279022773
1993-05-05,24.861459732055664,0.0028070214896153754,0.006062668758632192,-0.020669779039650334,24.887531089782716,-0.001047567058098213,-0.021666093697225396,0.021666093697225396,0.04255360372963357
