Date,Close,log_return,volatility,drawdown,ma_50,ma_distance,trend_slope,trend_strength,boll_width,state,Clustering_regime_label,rule_20_regime
1993-04-12,25.035669326782227,0.0140155093409348,0.007003549452991,-0.0138067347154668,24.83415184020996,0.0081145306620047,-0.0199686652735657,0.0199686652735657,0.032505357055606,1,Bull,Bull
1993-04-13,25.08795547485352,0.0020862883418056,0.0069306729735627,-0.0117471034580586,24.84830219268799,0.0096446542024127,-0.0160740099455192,0.0160740099455192,0.0321400593845841,1,Bull,Bull
1993-04-14,25.053096771240234,-0.0013904259152032,0.006936478555822,-0.0131202410519153,24.858287315368653,0.0078368012003441,-0.0125939491099887,0.0125939491099887,0.0317461655299041,1,Bull,Bull
1993-04-15,25.053096771240234,0.0,0.0067889950547091,-0.0131202410519153,24.86723201751709,0.0074742839730701,-0.0114421457276313,0.0114421457276313,0.0318524005212101,1,Bull,Bull
1993-04-16,25.053096771240234,0.0,0.0066358397010335,-0.0131202410519153,24.87097438812256,0.0073226878961626,-0.0079251454288805,0.0079251454288805,0.0314044075291345,1,Bull,Bull
1993-04-19,24.94856643676757,-0.0041810803899104,0.0066906303418761,-0.0172378506324428,24.87054534912109,0.0031370879307733,-0.0063663540029889,0.0063663540029889,0.0311853940916935,1,Bull,Bull
1993-04-20,24.826616287231445,-0.0049000480508107,0.0066646644274385,-0.0220416533430145,24.86802444458008,-0.0016651164808412,-0.0085146839457353,0.0085146839457353,0.0317696209433352,1,Bull,Bull
1993-04-21,24.80918312072754,-0.0007024432941012,0.0066415792039094,-0.0227283724066963,24.865154876708985,-0.002251011757577,-0.0098770686558317,0.0098770686558317,0.0321969482237456,1,Bull,Bull
1993-04-22,24.495588302612305,-0.0127208397025566,0.0071860771575378,-0.0350813514150319,24.859481086730955,-0.0146379879310064,-0.0154049823158669,0.0154049823158669,0.0365103493563557,1,Bull,Bull
1993-04-23,24.391056060791016,-0.0042765218392529,0.0070061808378031,-0.039199036128936,24.851023025512696,-0.0185089750329178,-0.0191643463937867,0.0191643463937867,0.0402727086199872,1,Bull,Bull
1993-04-26,24.199403762817383,-0.0078885152568639,0.0070947741368137,-0.0467485129602069,24.83630447387696,-0.0256439403748439,-0.0266836109017972,0.0266836109017972,0.0474235425924182,1,Bull,Bull
